<Meta>,<Event>,<Severity>,<Privacy>,<Subject>,<Owner>,<Object>,<Object>,<Object>,<Operation>,<Operation>,<Operation>,<Operation>,<Operation>,<Operation>,<Operation>,<Operation>,<Client>
<EnKey>,EventName,Severity,<NA>,Subject,<NA>,ObjectID,ObjectName,ObjectType,ExecuteDate/ExecuteTime,ResultDetail,Option1,Option2,Option3,Option4,Option5,Option6,ClientName
<JaKey>,EventName,Severity,<NA>,Subject,<NA>,ObjectID,ObjectName,ObjectType,ExecuteDate/ExecuteTime,ResultDetail,Option1,Option2,Option3,Option4,Option5,Option6,ClientName
<OutputType>,string,string,<NA>,string,<NA>,string,string,string,datetime,string,string,string,string,string,string,string,string
<DataType>,string,Severity,bool,string,string,string,string,string,AUDTIME,string,string,string,string,string,string,string,string
<Def>,User.Authentication.Required,Warning,TRUE,,,,,,,,"<unclassified>
指示された認証方式","<unclassified>
指示された認証先","<unclassified>
指示された認証方法","<unclassified>
要求元の通信プロトコル（Local, http、SNMPなど)","<privacy>
通信元を識別する情報(IPアドレスなど、Localの場合""""(空文字))",,"jp.co.fujixerox.spicule.facility.authenticationcomp.AuthenticationFacilityComponent
jp.co.fujixerox.spider.util.nilcomp.NonInteractiveLoginUtilityComponent"
<Def>,User.Authentication.Required.Success,Notice,TRUE,"<PRIVACY>
発行された認証チケット","<internal>
Loginした人
（取得できない場合は空文字）","<privacy>
ユーザー管理番号
（取得できない場合は空文字）","<privacy>
ユーザ名
（表示用の名称)
（取得できない場合は空文字）","<unclassified>
ユーザが所属するクラス
（取得できない場合は空文字）",,,"<UNCLASSIFIED>
指示された認証方式","<UNCLASSIFIED>
指示された認証先","<UNCLASSIFIED>
指示された認証方法","<unclassified>
要求元の通信プロトコル（Local, http、SNMPなど)","<privacy>
通信元を識別する情報(IPアドレスなど、Localの場合""""(空文字))",,"jp.co.fujixerox.spicule.facility.authenticationcomp.AuthenticationFacilityComponent
jp.co.fujixerox.spider.util.nilcomp.NonInteractiveLoginUtilityComponent"
<Def>,User.Authentication.Required.Failure,Critical,TRUE,,,,,,,"<PRIVACY>
失敗理由","<unclassified>
指示された認証方式","<unclassified>
指示された認証先","<unclassified>
指示された認証方法","<unclassified>
要求元の通信プロトコル（Local, http、SNMPなど)","<privacy>
通信元を識別する情報(IPアドレスなど、Localの場合""""(空文字))",,"jp.co.fujixerox.spicule.facility.authenticationcomp.AuthenticationFacilityComponent
jp.co.fujixerox.spider.util.nilcomp.NonInteractiveLoginUtilityComponent"
<Def>,User.Authentication.Success,Notice,TRUE,"<PRIVACY>
発行された認証チケット","<INTERNAL>
Loginした人","<PRIVACY>
ユーザー管理番号","<privacy>
ユーザ名
（表示用の名称)","<UNCLASSIFIED>
ユーザが所属するクラス",,,"<UNCLASSIFIED>
指示された認証方式","<UNCLASSIFIED>
指示された認証先","<UNCLASSIFIED>
指示された認証方法",,,,jp.co.fujixerox.spider.runtime.pauthcomp.PrincipalAuthorityComponent
<Def>,User.Authentication.InvalidPassword,Critical,TRUE,,"<INTERNAL>
Loginしようとした人","<PRIVACY>
ユーザー管理番号","<privacy>
ユーザ名
（表示用の名称)
(認証先によっては認証失敗時にユーザ名を取得できない場合があり、その場合は空文字)","<UNCLASSIFIED>
ユーザが所属するクラス",,,"<UNCLASSIFIED>
指示された認証方式","<UNCLASSIFIED>
指示された認証先","<UNCLASSIFIED>
指示された認証方法",,,,jp.co.fujixerox.spider.runtime.pauthcomp.PrincipalAuthorityComponent
<Def>,User.Authentication.InvalidUser,Critical,TRUE,,,,,,,"<PRIVACY>
失敗理由","<unclassified>
指示された認証方式","<unclassified>
指示された認証先","<unclassified>
指示された認証方法","<privacy>
インプットされた識別情報（ユーザIDなど）",,,jp.co.fujixerox.spider.runtime.pauthcomp.PrincipalAuthorityComponent
<Def>,User.AssociateAuthentication.Required,Warning,TRUE,,,,,,,,"<unclassified>
指示された認証方式","<unclassified>
指示された認証先","<unclassified>
指示された認証方法","<unclassified>
要求元の通信プロトコル（Local, http、SNMPなど)","<privacy>
通信元を識別する情報(IPアドレスなど、Localの場合""""(空文字))",,jp.co.fujixerox.spicule.facility.authenticationcomp.AuthenticationFacilityComponent
<Def>,User.AssociateAuthentication.Required.Success,Notice,TRUE,"<PRIVACY>
発行された認証チケット","<internal>
Loginした人
（取得できない場合は空文字）","<unclassified>
ユーザー管理番号
（取得できない場合は空文字）","<privacy>
ユーザ名
（表示用の名称)
（取得できない場合は空文字）","<unclassified>
ユーザが所属するクラス
（取得できない場合は空文字）",,,"<UNCLASSIFIED>
指示された認証方式","<UNCLASSIFIED>
指示された認証先","<UNCLASSIFIED>
指示された認証方法","<unclassified>
要求元の通信プロトコル（Local, http、SNMPなど)","<privacy>
通信元を識別する情報(IPアドレスなど、Localの場合""""(空文字))",,"jp.co.fujixerox.spicule.facility.authenticationcomp.AuthenticationFacilityComponent
jp.co.fujixerox.spider.util.nilcomp.NonInteractiveLoginUtilityComponent"
<Def>,User.AssociateAuthentication.Required.Failure,Critical,TRUE,,,,,,,"<PRIVACY>
失敗理由","<unclassified>
指示された認証方式","<unclassified>
指示された認証先","<unclassified>
指示された認証方法","<unclassified>
要求元の通信プロトコル（Local, http、SNMPなど)","<privacy>
通信元を識別する情報(IPアドレスなど、Localの場合""""(空文字))",,"jp.co.fujixerox.spicule.facility.authenticationcomp.AuthenticationFacilityComponent
jp.co.fujixerox.spider.util.nilcomp.NonInteractiveLoginUtilityComponent"
<Def>,User.AssociateAuthentication.Success,Notice,TRUE,"<PRIVACY>
発行された認証チケット","<INTERNAL>
Loginした人","<PRIVACY>
ユーザー管理番号","<privacy>
ユーザ名
（表示用の名称)
(認証先によってはユーザ名を取得できない場合があり、その場合は空文字)","<UNCLASSIFIED>
ユーザが所属するクラス",,,"<UNCLASSIFIED>
指示された認証方式","<UNCLASSIFIED>
指示された認証先","<UNCLASSIFIED>
指示された認証方法",,,,jp.co.fujixerox.spider.runtime.pauthcomp.PrincipalAuthorityComponent
<Def>,User.AssociateAuthentication.InvalidPassword,Critical,TRUE,,"<INTERNAL>
Loginしようとした人","<PRIVACY>
ユーザー管理番号","<privacy>
ユーザ名
（表示用の名称)
(認証先によっては認証失敗時にユーザ名を取得できない場合があり、その場合は空文字)","<UNCLASSIFIED>
ユーザが所属するクラス",,,"<UNCLASSIFIED>
指示された認証方式","<UNCLASSIFIED>
指示された認証先","<UNCLASSIFIED>
指示された認証方法",,,,jp.co.fujixerox.spider.runtime.pauthcomp.PrincipalAuthorityComponent
<Def>,User.AssociateAuthentication.InvalidUser,Critical,TRUE,,,,,,,"<PRIVACY>
失敗理由","<unclassified>
指示された認証方式","<unclassified>
指示された認証先","<unclassified>
指示された認証方法","<privacy>
インプットされた識別情報（ユーザIDなど）",,,jp.co.fujixerox.spider.runtime.pauthcomp.PrincipalAuthorityComponent
<Def>,NonRegistrationUser.Identification.Success,Notice,TRUE,"<PRIVACY>
発行された仮認証チケッ",,,,,,,"<UNCLASSIFIED>
指示された認証方式","<UNCLASSIFIED>
指示された認証先","<UNCLASSIFIED>
指示された認証方法",,,,jp.co.fujixerox.spider.runtime.pauthcomp.PrincipalAuthorityComponent
<Def>,NonRegistrationUser.Identification.InvalidPassword,Critical,"FALSE
",,,,,,,,"<UNCLASSIFIED>
指示された認証方式","<UNCLASSIFIED>
指示された認証先","<UNCLASSIFIED>
指示された認証方法",,,,jp.co.fujixerox.spider.runtime.pauthcomp.PrincipalAuthorityComponent
<Def>,NonRegistrationUser.Authentication.Success,Notice,TRUE,"<PRIVACY>
発行された認証チケット","<INTERNAL>
Loginした人","<PRIVACY>
ユーザー管理番号","<privacy>
ユーザ名
（表示用の名称)
(認証先によってはユーザ名を取得できない場合があり、その場合は空文字)","<UNCLASSIFIED>
ユーザが所属するクラス","<UNCLASSIFIED>
認証成功時間",,"<PRIVACY>
認証チケット発行に利用した仮認証チケット",,,,,,jp.co.fujixerox.spider.runtime.pauthcomp.PrincipalAuthorityComponent
<Def>,User.Logout.Success,Notice,TRUE,"<PRIVACY>
Logoutしたコンテキストに対応する認証チケット","<INTERNAL>
Logoutした人。",,,,,,,,,,,,jp.co.fujixerox.spider.runtime.pauthcomp.PrincipalAuthorityComponent
<Def>,User.Logout.Failure,Notice,TRUE,"<privacy>
Logoutしたコンテキストに対応する認証チケット","<internal>
Logoutした人
（認証チケット不正などにより、特定できない場合には空文字列)",,,,,,,,,,,,jp.co.fujixerox.spider.runtime.pauthcomp.PrincipalAuthorityComponent
<Def>,User.Logout.Auto.Success,Notice,TRUE,"<PRIVACY>
Logoutしたコンテキストに対応する認証チケット","<INTERNAL>
Logoutされた人",,,,,,,,,,,,jp.co.fujixerox.spicule.facility.authenticationcomp.AuthenticationFacilityComponent
<Def>,User.InvalidateAuthTicket.Success,Notice,TRUE,"<PRIVACY>
無効となった認証チケット","<INTERNAL>
認証チケットが無効になった人",,,,,,,,,,,,jp.co.fujixerox.spider.runtime.pauthcomp.PrincipalAuthorityComponent
<Def>,User.InvalidatePartialTicket.Success,Notice,TRUE,"<PRIVACY>
無効となった仮認証チケット",,,,,,,,,,,,,jp.co.fujixerox.spider.runtime.pauthcomp.PrincipalAuthorityComponent
<Def>,User.InvalidatePartialTicket.Failure,Notice,TRUE,"<PRIVACY>
無効にしようとした仮認証チケット",,,,,,,,,,,,,jp.co.fujixerox.spider.runtime.pauthcomp.PrincipalAuthorityComponent
<Def>,AuthenticateDomain.Add.Success,Notice,TRUE,<PRIVACY>,,"<UNCLASSIFIED>
追加された認証先",,,,,"<UNCLASSIFIED>
認証先が追加された認証プロトコル",,,,,,jp.co.fujixerox.spider.runtime.pauthcomp.PrincipalAuthorityComponent
<Def>,AuthenticateDomain.Add.Failure,Warning,TRUE,<privacy>,,"<UNCLASSIFIED>
追加要求された認証先",,,,"<UNCLASSIFIED>
失敗理由","<UNCLASSIFIED>
認証先が追加要求された認証プロトコル",,,,,,jp.co.fujixerox.spider.runtime.pauthcomp.PrincipalAuthorityComponent
<Def>,AuthenticateDomain.Delete.Accept,Notice,TRUE,<PRIVACY>,,"<UNCLASSIFIED>
削除要求された認証先",,,,,"<UNCLASSIFIED>
認証先が削除要求された認証プロトコル",,,,,,jp.co.fujixerox.spider.runtime.pauthcomp.PrincipalAuthorityComponent
<Def>,AuthenticateDomain.Delete.Reject,Warning,TRUE,<privacy>,,"<UNCLASSIFIED>
削除要求を拒否された認証先",,,,"<UNCLASSIFIED>
失敗理由","<UNCLASSIFIED>
認証先が削除要求された認証プロトコル",,,,,,jp.co.fujixerox.spider.runtime.pauthcomp.PrincipalAuthorityComponent
<Def>,AuthenticateDomain.Delete.Success,Notice,FALSE,,,"<UNCLASSIFIED>
削除された認証先",,,,,"<UNCLASSIFIED>
認証先が削除された認証プロトコル",,,,,,jp.co.fujixerox.spider.runtime.pauthcomp.PrincipalAuthorityComponent
<Def>,User.Add.Success,Notice,TRUE,<PRIVACY>,"<INTERNAL>
追加されたユーザ","<PRIVACY>
ユーザー管理番号","<privacy>
ユーザ名
（表示用の名称)
(特定できない場合は空文字列)","<UNCLASSIFIED>
ユーザが所属するクラス","<UNCLASSIFIED>
追加時間",,"<UNCLASSIFIED>
認証方式","<unclassified>
認証先
(認証方式がLocalの場合は空文字)",,,,,jp.co.fujixerox.spider.runtime.pauthcomp.PrincipalAuthorityComponent
<Def>,User.Add.Failure,Warning,TRUE,<privacy>,"
","
",,"<unclassified>
ユーザが所属するクラス
(特定できない場合には空文字列)",,"<UNCLASSIFIED>
失敗理由","<unclassified>
認証方式
(特定できない場合は空文字列)","<unclassified>
認証先
(特定できない場合は空文字列)
(認証方式がLocalの場合は空文字)",,,,,jp.co.fujixerox.spider.runtime.pauthcomp.PrincipalAuthorityComponent
<Def>,User.Attach.Success,Notice,TRUE,<PRIVACY>,"<INTERNAL>
関連付けされたユーザ","<PRIVACY>
ユーザー管理番号","<privacy>
ユーザ名
（表示用の名称)
(特定できない場合は空文字列)","<UNCLASSIFIED>
ユーザが所属するクラス","<UNCLASSIFIED>
関連付け時間",,"<UNCLASSIFIED>
認証方式","<unclassified>
認証先
(認証方式がLocalの場合は空文字)",,,,,jp.co.fujixerox.spider.runtime.pauthcomp.PrincipalAuthorityComponent
<Def>,User.Attach.Failure,Warning,TRUE,<privacy>,"<INTERNAL>
関連付けに失敗したユーザ","<PRIVACY>
ユーザー管理番号
(ユーザー管理番号が不正な場合でも、不正だったユーザー管理番号を記録する。)",,"<unclassified>
ユーザが所属するクラス。
(特定できない場合には空文字列)",,"<UNCLASSIFIED>
失敗理由","<unclassified>
認証方式
(特定できない場合は空文字列)","<unclassified>
認証先
(特定できない場合は空文字列)
(認証方式がLocalの場合は空文字)",,,,,jp.co.fujixerox.spider.runtime.pauthcomp.PrincipalAuthorityComponent
<Def>,User.Delete.Accept,Notice,TRUE,<PRIVACY>,"<INTERNAL>
削除要求されたユーザ","<PRIVACY>
ユーザー管理番号","<privacy>
ユーザ名
（表示用の名称)
(特定できない場合は空文字列)","<UNCLASSIFIED>
削除要求されたユーザのユーザクラス",,,,,,,,,jp.co.fujixerox.spider.runtime.pauthcomp.PrincipalAuthorityComponent
<Def>,User.Delete.Reject,Warning,TRUE,<privacy>,"<internal>
削除要求されたユーザ
(存在しない場合は空文字列)","<PRIVACY>
ユーザー管理番号
(ユーザー管理番号が不正な場合でも、不正だったユーザー管理番号を記録する。)",,"<unclassified>
削除要求されたユーザのユーザクラス
(存在しない場合は空文字列)",,"<UNCLASSIFIED>
失敗理由",,,,,,,jp.co.fujixerox.spider.runtime.pauthcomp.PrincipalAuthorityComponent
<Def>,User.Delete.Success,Notice,TRUE,<PRIVACY>,"<INTERNAL>
削除されたユーザ","<PRIVACY>
ユーザー管理番号",,,,,,,,,,,jp.co.fujixerox.spider.runtime.pauthcomp.PrincipalAuthorityComponent
<Def>,User.Detach.Accept,Notice,TRUE,<PRIVACY>,"<INTERNAL>
関連付け解除要求されたユーザのユーザ管理番号","<PRIVACY>
関連付け解除要求されたユーザのユーザ管理番号","<privacy>
ユーザ名
（表示用の名称)
(特定できない場合には空文字列を表示)","<UNCLASSIFIED>
関連付け解除要求されたユーザのユーザクラス","<UNCLASSIFIED>
関連付け解除要求受付時間",,"<UNCLASSIFIED>
関連付け解除要求されたユーザの認証方式","<unclassified>
関連付け解除要求されたユーザの認証先
(認証方式がLocalの場合は空文字)",,,,,jp.co.fujixerox.spider.runtime.pauthcomp.PrincipalAuthorityComponent
